Blades of Time,"Ação, Hack and slash",Gaijin Entertainment,Konami,6 de março de 2012,16 de março de 2012,8 de março de 2012,8 de março de 2012
Bladestorm: The Hundred Years' War,RTT,Omega Force,Koei,6 de novembro de 2007,2 de novembro de 2007,25 de outubro de 2007,15 de novembro de 2007
BlazBlue: Calamity Trigger,Luta,Arc System Works,Arc System Works,30 de julho de 2009,2 de abril de 2010,25 de junho de 2009,26 de março de 2010
BlazBlue: Continuum Shift,Luta,Arc System Works,Arc System Works,27 de julho de 2010,3 de dezembro de 2010,1 de julho de 2010,3 de dezembro de 2010
BlazBlue: Continuum Shift Extend,Luta,Arc System Works,Arc System Works,14 de fevereiro de 2012,22 de fevereiro de 2012,17 de dezembro de 2011,Não lançado
Blazing Angels 2: Secret Missions of WWII,Simulador de combate aéreo,Ubisoft Bucharest,Ubisoft,18 de setembro de 2007,7 de setembro de 2007,19 de março de 2008,6 de setembro de 2007
Blazing Angels: Squadrons of WWII,Simulador de combate aéreo,Ubisoft Bucharest,Ubisoft,23 de março de 2006,31 de março de 2006,Não lançado,30 de março de 2006
Blitz: The League,Esportes,Midway Games,Midway Games,13 de novembro de 2006,23 de fevereiro de 2007,Não lançado,Não lançado
Blitz: The League II,Esportes,Midway Games,Midway Games,13 de outubro de 2008,24 de outubro de 2008,Não lançado,Não lançado
Blood Bowl,"Esportes, RTS, Estratégia por turnos",Cyanide Studio,Focus Home Interactive,26 de janeiro de 2010,27 de novembro de 2009,Não lançado,10 de dezembro de 2009
Blood Drive,Combate veicular,Sidhe,Activision,2 de novembro de 2010,19 de novembro de 2010,Não lançado,Não lançado
Blue Dragon,RPG eletrônico,Mistwalker,Microsoft Game Studios,28 de agosto de 2007,24 de agosto de 2007,7 de dezembro de 2006,30 de agosto de 2007
Blur,"Corrida, Combate veicular",Bizarre Creations,Activision,25 de maio de 2010,28 de maio de 2010,22 de julho de 2010,26 de maio de 2010
Bodycount,Tiro em primeira pessoa,Guildford Studio,Codemasters,30 de agosto de 2011,2 de setembro de 2011,Não lançado,1 de setembro de 2011
Bolt,Aventura,Avalanche Software,Disney Interactive Studios,18 de novembro de 2008,13 de fevereiro de 2009,Não lançado,4 de dezembro de 2008
Bomberman: Act Zero,Ação,Hudson Soft,"Konami, Hudson SoftJP",29 de agosto de 2006,3 de novembro de 2006,3 de agosto de 2006,Não lançado
Borderlands[nota 5][nota 6],"RPG de ação, Tiro em primeira pessoa",Gearbox Software,2K Games,20 de outubro de 2009,23 de outubro de 2009,25 de fevereiro de 2010,23 de outubro de 2009
Borderlands 2,"RPG de ação, Tiro em primeira pessoa",Gearbox Software,2K Games,18 de setembro de 2012,21 de setembro de 2012,25 de outubro de 2012,20 de setembro de 2012
Borderlands 2 Add-On Pack Version 2.0,"RPG de ação, Tiro em primeira pessoa",Gearbox Software,2K Games,26 de fevereiro de 2013,1 de março de 2013,Não lançado,27 de fevereiro de 2013
Borderlands: The Pre-Sequel,"RPG de ação, Tiro em primeira pessoa",2K Australia,2K Games,14 de outubro de 2014,17 de outubro de 2014,30 de outubro de 2014,16 de outubro de 2014
Bound by Flame,RPG de ação,Spiders,Focus Home Interactive,9 de maio de 2014,9 de maio de 2014,Não lançado,10 de maio de 2014
Brave,Ação & Aventura,Behaviour Interactive,Disney Interactive Studios,19 de junho de 2012,27 de julho de 2012,Não lançado,21 de junho de 2012
Brave: A Warrior's Tale,Ação & Aventura,Collision Studios,SouthPeak Games,4 de agosto de 2009,25 de setembro de 2009,Não lançado,Não lançado
Brian Lara International Cricket 2007,Esportes,Codemasters,Codemasters,Não lançado,23 de março de 2007,Não lançado,29 de março de 2007
Brink,Tiro em primeira pessoa,Splash Damage,Bethesda Softworks,10 de maio de 2011,13 de maio de 2011,16 de junho de 2011,22 de novembro de 2013
Brothers in Arms: Hell's Highway,Tiro em primeira pessoa,Gearbox Software,Ubisoft,23 de setembro de 2008,26 de setembro de 2008,30 de outubro de 2008,25 de setembro de 2008
Brütal Legend,"Ação & Aventura, RTS",Double Fine,Electronic Arts,13 de outubro de 2009,16 de outubro de 2009,Não lançado,15 de outubro de 2009
Bullet Soul,Shoot 'em up,5pb.,5pb.,16 de setembro de 2016,Não lançado,7 de abril de 2011,Não lançado
Bullet Soul: Infinite Burst,Shoot 'em up,5pb.,5pb.,1 de novembro de 2016,Não lançado,29 de maio de 2014,Não lançado
Bullet Witch,Tiro em terceira pessoa,Cavia,"Atari, AQ InteractiveJP",27 de fevereiro de 2007,6 de março de 2007,27 de julho de 2006,16 de março de 2006
Bulletstorm,Tiro em primeira pessoa,People Can Fly,Electronic Arts,22 de fevereiro de 2011,25 de fevereiro de 2011,24 de fevereiro de 2011,24 de fevereiro de 2011
Bully: Scholarship Edition,Ação & Aventura,Rockstar New England,Rockstar Games,4 de março de 2008,7 de março de 2008,24 de julho de 2008,7 de março de 2008
Burnout Paradise,Corrida,Criterion Games,Electronic Arts,22 de janeiro de 2008,25 de janeiro de 2008,21 de fevereiro de 2008,7 de fevereiro de 2008
Burnout Revenge,Corrida,Criterion Games,Electronic Arts,7 de março de 2006,17 de março de 2006,23 de março de 2006,Não lançado
Cabela's Adventure Camp,Caça/Pesca,Cauldron,Activision,1 de novembro de 2011,1 de novembro de 2011,Não lançado,Não lançado
Cabela's African Adventures,Caça/Pesca,Fun Labs,Activision,15 de outubro de 2013,15 de outubro de 2013,Não lançado,Não lançado
Cabela's African Safari,Caça/Pesca,Fun Labs,Activision,21 de novembro de 2006,4 de maio de 2007,Não lançado,Não lançado
Cabela's Alaskan Adventures,Caça/Pesca,Fun Labs,Activision,19 de setembro de 2006,16 de novembro de 2006,Não lançado,Não lançado
Cabela's Big Game Hunter,Caça/Pesca,Fun Labs,Activision,6 de novembro de 2007,5 de março de 2008,Não lançado,Não lançado
Cabela's Big Game Hunter 2010,Caça/Pesca,Cauldron,Activision,22 de setembro de 2009,22 de setembro de 2009,Não lançado,Não lançado
