Cartoon Network: Battle Crashers,Magic Pockets / Torus Games,GameMill Entertainment,31/Out/2017
Cast of the Seven Godsends,Raven Travel Studios,Merge Games,18/Abr/2018
Castle of Heart,7Levels,7Levels,23/Mar/2018
CastleStorm,Zen Studios,Zen Studios,16/Ago/2018
Castlevania Anniversary Collection,Konami Digital Entertainment,Konami,16/Mai/2019
Cat Quest,The Gentlebros,PQube,10/Nov/2017
Catan,Magic Pockets / Torus Games,Asmodee Digital,20/Jun/2019
Catastronauts,Inertia Game Studios,Inertiasoft,03/Jan/2019
Catch 'Em! Goldfish Scooping,Clouds Inc. Giga-Rensya,D3Publisher,02/Ago/2018
Catch a Duck,All Those Moments,Ultimate Games,29/Jul/2019
Caterpillar Royale,Starsign,Starsign,19/Fev/2019
Cattails,Falcon Development LLC,Falcon Development,29/Nov/2018
Cave Story+,Nicalis,"Nicalis, Inc.",20/Jun/2017
Caveblazers,Deadpan Games,Yogscast,10/Jan/2019
Caveman Warriors,JanduSoft S.L.,JanduSoft,05/Dez/2017
Cel Damage HD,Finish Line Games Inc.,Finish Line Games,28/Mar/2019
Celeste,Matt Makes Games Inc.,Matt Makes Games Inc.,25/Jan/2018
Chalk Dash Carnival,SAT-BOX,SAT-BOX,14/Nov/2018
Chameleon Run Deluxe Edition,Hyperbolic Magnetism,Cinemax,14/Jun/2018
Chess Ultra,Ripstone,Ripstone,02/Nov/2017
Chicken Assassin: Reloaded,OneShark,Akupara Games,19/Jul/2018
Chicken Range,NYX Digital LTD,Funbox Media,25/Out/2018
Chiki-Chiki Boxy Racers,Pocket,Unties,30/Ago/2018
Child of Light Ultimate Edition,Ubisoft Montreal,Ubisoft,11/Out/2018
Chime Sharp,Chilled Mouse,Chilled Mouse,28/Mai/2019
Chocobo's Mystery Dungeon: Every Buddy!,Square Enix,Square Enix,20/Mar/2019
ChromaGun,Pixel Maniacs,Pixel Maniacs,22/Jan/2018
Chroma Squad,Behold Studios,Plug In Digital,01/Ago/2019
Chrono Clash: Fantasy Tactics,Tyler Projects,Tyler Projects,28/Jan/2019
Chronus Arc,"Hit-Point Co.,Ltd.",Kemco,20/Dez/2018
Cinderella - An Interactive Fairytale,Golden Orb,Golden Orb,18/Jan/2019
Cinders,MoaCube / Crunching Koalas,Crunching Koalas,14/Jan/2019
Circuits,Digital Tentacle,TeseoyelMinotauro,05/Abr/2019
Cities: Skylines - Nintendo Switch Edition,Tantalus,Paradox Interactive,13/Set/2018
Citizens of Space,Eden Industries,Sega,18/Jun/2019
City of Brass,Uppercut Games Pty Ltd,Uppercut Games,08/Fev/2019
Classic Games Collection Vol.1,Baltoro Games,Baltoro Games,26/Jul/2019
Claws of Furry,Terahard,Terahard Studios,03/Set/2018
Claybook,Second Order,Second Order,12/Mar/2019
Clouds & Sheep 2,HandyGames,HandyGames,21/Dez/2018
Clue: The Classic Mystery Game,Marmalade Game Studio,Marmalade Game Studio,17/Dez/2018
ClusterPuck 99,PHL Collective,Coatsink Software,29/Mar/2018
Clustertruck,Landfall Games,tinyBuild Games,15/Mar/2018
Code of Princess EX,"Studio Saizensen co,.ltd.","Nicalis, Inc.",31/Jul/2018
Coffee Crisis,Mega Cat Studios,QubicGames,30/Nov/2018
Coffin Dodgers,Milky Tea,Wales Interactive Ltd.,13/Mar/2018
Collidalot,Grunka Munka Games,Grunka Munka,09/Nov/2018
Color Zen,Cypronia / Large Animal,Cypronia,06/Dez/2018
Color Zen Kids,Cypronia / Large Animal,Cypronia,21/Jan/2019
Coloring Book,FX Valley,QubicGames,16/Nov/2018
Combat Core,MABManZ,MABManZ,10/Jan/2019
Commander Keen in Keen Dreams,Lone Wolf Technology LLC,Lone Wolf Technology,07/Fev/2019
Conduct Together!,Northplay,Northplay,06/Dez/2018
Conga Master Party!,Undercoders,Rising Star Games,28/Set/2017
Construction Machines Simulator,SimFabric,SimFabric,19/Abr/2019
Constructor Plus,System 3 Software Ltd,System 3 Software,28/Fev/2019
Contra Anniversary Collection,Konami,Konami,11/Jun/2019
"Cook, Serve, Delicious! 2!!",Vertigo Gaming Inc.,Vertigo Gaming,10/Abr/2019
Cosmic Star Heroine,Zeboyd Games,Limited Run Games,14/Ago/2018
Crash Bandicoot N. Sane Trilogy,Toys For Bob,Activision,29/Jun/2018
Crash Dummy,Twelve Games,Funbox Media,28/Fev/2019
Crash Team Racing Nitro-Fueled,Beenox,Activision,21/Jun/2019
Crashbots,Sometimes You,Sometimes You,01/Mai/2019
Crashlands,Butterscotch Shenanigans,Butterscotch Shenanigans,08/Nov/2018
Crawl,Powerhoof Pty Ltd,Powerhoof,19/Dez/2017
Crayola Scoot,Climax Studios,Outright Games,16/Out/2018
Creepy Road,Groovy Milk,Groovy Milk,01/Mar/2019
Cricket 19,Big Ant Studios,Big Ant Studios,11/Jun/2019
CricktoGame: Nintendo Switch Edition,Polygon-e Studios,Polygon-e,07/Nov/2018
Crimson Keep,Team Crimson,Merge Games,29/Nov/2018
Crimsonland,10tons Ltd,10tons,24/Nov/2017
Croc's World,Sprakelsoft GmbH,Sprakelsoft,09/Nov/2018
Croixleur Sigma,souvenir circ.,Active Gaming Media,21/Fev/2019
Crossing Souls,Fourattic,Devolver Digital,26/Jul/2018
Crush Your Enemies!,Vile Monarch,Vile Monarch,02/Ago/2018
Cryogear,PolarityFlow / Adrian Zingg,PolarityFlow / Adrian Zingg,15/Ago/2019
Crypt of the NecroDancer: Nintendo Switch Edition,Brace Yourself Games,Brace Yourself,01/Fev/2018
Crypt of the Serpent King,Rendercode Games,Rendercode Games,30/Mai/2019
Crystal Crisis,"Nicalis, Inc",Nicalis,28/Mai/2019
Cubikolor,Fractal Box,Lightmaze,26/Jun/2018
Cuphead,Studio MDHR,Studio MDHR,18/Abr/2019
Cursed Castilla,Locomalito / Gryzor87,Abylight,24/Jan/2019
Cycle 28,Pill Bug,Pill Bug Interactive,02/Ago/2018
Cytus a,Rayark Inc.,Flyhigh Works,25/Abr/2019
D/Generation: The Original,West Coast Software,West Coast Software,07/Jun/2018
